"","Raf","Mek","Plcg","PIP2","PIP3","Erk","Akt","PKA","PKC","P38","Jnk"
"139","(39.52,74.3]","(24.8,389]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","[1,15.32]","(23.5,39.6]","(192.2,547]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"140","[1.61,39.52]","(15.1,24.8]","(24.8,167]","(23.3,178]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","(192.2,547]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"141","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(8.06,16.58]","(25,44.34]","[1,9.82]"
"142","[1.61,39.52]","(15.1,24.8]","(10.8,24.8]","(23.3,178]","(45.3,764]","[1,15.32]","[1.7,23.5]","(192.2,547]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"143","(74.3,552]","(24.8,389]","[1,10.8]","(23.3,178]","(45.3,764]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","[1,8.06]","(25,44.34]","(35.9,343]"
"144","(39.52,74.3]","(24.8,389]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"145","(74.3,552]","(24.8,389]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"146","(74.3,552]","(24.8,389]","(10.8,24.8]","(23.3,178]","[1,18.88]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"147","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","(23.3,178]","(45.3,764]","[1,15.32]","[1.7,23.5]","(547,4491]","(16.58,106]","(44.34,170]","(35.9,343]"
"148","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","(178,843]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","(192.2,547]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"149","(74.3,552]","(24.8,389]","[1,10.8]","[1.11,23.3]","[1,18.88]","(25.3,2571]","(39.6,3555]","(547,4491]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"150","[1.61,39.52]","(15.1,24.8]","[1,10.8]","(23.3,178]","[1,18.88]","(25.3,2571]","(39.6,3555]","(547,4491]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"151","(74.3,552]","(24.8,389]","[1,10.8]","(23.3,178]","(45.3,764]","[1,15.32]","[1.7,23.5]","(192.2,547]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"152","(39.52,74.3]","(24.8,389]","(24.8,167]","(23.3,178]","[1,18.88]","[1,15.32]","(23.5,39.6]","(547,4491]","[1,8.06]","(25,44.34]","[1,9.82]"
"153","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","(23.3,178]","[1,18.88]","[1,15.32]","[1.7,23.5]","(547,4491]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"154","(74.3,552]","(24.8,389]","[1,10.8]","(23.3,178]","(18.88,45.3]","(25.3,2571]","(39.6,3555]","(547,4491]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"155","(74.3,552]","(24.8,389]","[1,10.8]","(178,843]","(18.88,45.3]","(25.3,2571]","(39.6,3555]","(547,4491]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"156","(74.3,552]","(24.8,389]","[1,10.8]","(178,843]","(45.3,764]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","[1,8.06]","[1.53,25]","[1,9.82]"
"157","[1.61,39.52]","(15.1,24.8]","(24.8,167]","(23.3,178]","[1,18.88]","(25.3,2571]","(39.6,3555]","(192.2,547]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"158","(39.52,74.3]","(24.8,389]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","(15.32,25.3]","(23.5,39.6]","(547,4491]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"159","(74.3,552]","(15.1,24.8]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(8.06,16.58]","(25,44.34]","[1,9.82]"
"160","(74.3,552]","(24.8,389]","[1,10.8]","[1.11,23.3]","(45.3,764]","(25.3,2571]","(39.6,3555]","(547,4491]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"161","(74.3,552]","(15.1,24.8]","[1,10.8]","(23.3,178]","[1,18.88]","(25.3,2571]","(39.6,3555]","(547,4491]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"162","(74.3,552]","(24.8,389]","[1,10.8]","(23.3,178]","[1,18.88]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","[1,8.06]","(25,44.34]","(35.9,343]"
"163","(74.3,552]","(24.8,389]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","[1,15.32]","(23.5,39.6]","(547,4491]","(8.06,16.58]","(25,44.34]","(35.9,343]"
"164","(39.52,74.3]","(24.8,389]","(10.8,24.8]","(23.3,178]","(45.3,764]","[1,15.32]","(23.5,39.6]","(547,4491]","[1,8.06]","[1.53,25]","(35.9,343]"
"165","[1.61,39.52]","(15.1,24.8]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","(192.2,547]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"166","(39.52,74.3]","(24.8,389]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","(15.32,25.3]","(39.6,3555]","(192.2,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"167","[1.61,39.52]","[1,15.1]","(10.8,24.8]","(23.3,178]","[1,18.88]","[1,15.32]","(23.5,39.6]","(192.2,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"168","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","(23.3,178]","[1,18.88]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"169","(39.52,74.3]","(15.1,24.8]","(24.8,167]","(23.3,178]","[1,18.88]","[1,15.32]","[1.7,23.5]","(547,4491]","[1,8.06]","(44.34,170]","(35.9,343]"
"170","[1.61,39.52]","(15.1,24.8]","[1,10.8]","[1.11,23.3]","(45.3,764]","[1,15.32]","[1.7,23.5]","(547,4491]","(8.06,16.58]","(25,44.34]","[1,9.82]"
"171","(74.3,552]","(24.8,389]","(10.8,24.8]","[1.11,23.3]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","(192.2,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"172","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","[1,15.32]","(23.5,39.6]","(547,4491]","(8.06,16.58]","(44.34,170]","[1,9.82]"
"173","(74.3,552]","(24.8,389]","(10.8,24.8]","(23.3,178]","[1,18.88]","(25.3,2571]","(39.6,3555]","(547,4491]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"174","(74.3,552]","(24.8,389]","(24.8,167]","(178,843]","(45.3,764]","[1,15.32]","[1.7,23.5]","(547,4491]","(8.06,16.58]","(25,44.34]","(35.9,343]"
"175","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","[1,15.32]","(23.5,39.6]","(192.2,547]","(8.06,16.58]","[1.53,25]","(35.9,343]"
"176","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","(547,4491]","[1,8.06]","[1.53,25]","(35.9,343]"
"177","(39.52,74.3]","(15.1,24.8]","[1,10.8]","[1.11,23.3]","(18.88,45.3]","[1,15.32]","(23.5,39.6]","(192.2,547]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"178","[1.61,39.52]","[1,15.1]","(24.8,167]","(23.3,178]","(45.3,764]","(25.3,2571]","(39.6,3555]","(547,4491]","(16.58,106]","(44.34,170]","(35.9,343]"
"179","(39.52,74.3]","(15.1,24.8]","(24.8,167]","(23.3,178]","(18.88,45.3]","[1,15.32]","(23.5,39.6]","(192.2,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"180","(39.52,74.3]","(24.8,389]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","[1,15.32]","(23.5,39.6]","(192.2,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"181","(39.52,74.3]","(15.1,24.8]","[1,10.8]","(23.3,178]","[1,18.88]","[1,15.32]","[1.7,23.5]","(192.2,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"182","(74.3,552]","(24.8,389]","(24.8,167]","(23.3,178]","(45.3,764]","(25.3,2571]","(39.6,3555]","(547,4491]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"183","[1.61,39.52]","[1,15.1]","(24.8,167]","(23.3,178]","(45.3,764]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(8.06,16.58]","[1.53,25]","(9.82,35.9]"
"184","[1.61,39.52]","(24.8,389]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","(15.32,25.3]","(39.6,3555]","(547,4491]","[1,8.06]","[1.53,25]","(35.9,343]"
"185","(39.52,74.3]","(15.1,24.8]","[1,10.8]","(23.3,178]","(45.3,764]","[1,15.32]","[1.7,23.5]","(192.2,547]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"186","(74.3,552]","(24.8,389]","(24.8,167]","(23.3,178]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","(192.2,547]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"187","(39.52,74.3]","(24.8,389]","(10.8,24.8]","(23.3,178]","[1,18.88]","[1,15.32]","[1.7,23.5]","(547,4491]","(8.06,16.58]","(25,44.34]","[1,9.82]"
"188","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","(192.2,547]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"189","(74.3,552]","(15.1,24.8]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"190","(39.52,74.3]","(24.8,389]","(24.8,167]","(23.3,178]","[1,18.88]","[1,15.32]","[1.7,23.5]","(192.2,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"191","(39.52,74.3]","(24.8,389]","(24.8,167]","(23.3,178]","[1,18.88]","[1,15.32]","(23.5,39.6]","(547,4491]","[1,8.06]","[1.53,25]","(35.9,343]"
"192","(74.3,552]","(24.8,389]","(10.8,24.8]","[1.11,23.3]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","[1.95,192.2]","[1,8.06]","(25,44.34]","(35.9,343]"
"193","(39.52,74.3]","(24.8,389]","(10.8,24.8]","(23.3,178]","[1,18.88]","[1,15.32]","[1.7,23.5]","(192.2,547]","(8.06,16.58]","[1.53,25]","[1,9.82]"
"194","(74.3,552]","(24.8,389]","(24.8,167]","(23.3,178]","[1,18.88]","[1,15.32]","[1.7,23.5]","(547,4491]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"195","(74.3,552]","(24.8,389]","(24.8,167]","(23.3,178]","[1,18.88]","[1,15.32]","(23.5,39.6]","(547,4491]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"196","(74.3,552]","(24.8,389]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","(15.32,25.3]","(39.6,3555]","(547,4491]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"197","[1.61,39.52]","(24.8,389]","(10.8,24.8]","(23.3,178]","(45.3,764]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(16.58,106]","(44.34,170]","(35.9,343]"
"198","(74.3,552]","(24.8,389]","(10.8,24.8]","(23.3,178]","[1,18.88]","(25.3,2571]","(39.6,3555]","(547,4491]","[1,8.06]","[1.53,25]","(9.82,35.9]"
"199","(39.52,74.3]","(24.8,389]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(8.06,16.58]","[1.53,25]","(9.82,35.9]"
"200","[1.61,39.52]","(15.1,24.8]","(24.8,167]","(23.3,178]","(45.3,764]","[1,15.32]","[1.7,23.5]","(192.2,547]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"201","(39.52,74.3]","(24.8,389]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","[1,8.06]","(25,44.34]","(35.9,343]"
"202","(74.3,552]","(24.8,389]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","(25.3,2571]","(39.6,3555]","(547,4491]","[1,8.06]","[1.53,25]","(35.9,343]"
"203","(74.3,552]","(24.8,389]","(24.8,167]","(23.3,178]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","(192.2,547]","[1,8.06]","(25,44.34]","(35.9,343]"
"204","(39.52,74.3]","(15.1,24.8]","[1,10.8]","(23.3,178]","(18.88,45.3]","(15.32,25.3]","(39.6,3555]","(192.2,547]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"205","(39.52,74.3]","(15.1,24.8]","[1,10.8]","(23.3,178]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","(192.2,547]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"206","[1.61,39.52]","[1,15.1]","[1,10.8]","(23.3,178]","(18.88,45.3]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"207","[1.61,39.52]","(15.1,24.8]","(24.8,167]","(23.3,178]","(45.3,764]","[1,15.32]","[1.7,23.5]","(547,4491]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"208","[1.61,39.52]","[1,15.1]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"209","[1.61,39.52]","(15.1,24.8]","(24.8,167]","(23.3,178]","[1,18.88]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"210","(39.52,74.3]","[1,15.1]","(24.8,167]","(23.3,178]","(18.88,45.3]","(25.3,2571]","(39.6,3555]","(192.2,547]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"211","[1.61,39.52]","(15.1,24.8]","(10.8,24.8]","(23.3,178]","(45.3,764]","(15.32,25.3]","(39.6,3555]","(547,4491]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"212","(39.52,74.3]","(24.8,389]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","(547,4491]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"213","[1.61,39.52]","(15.1,24.8]","(10.8,24.8]","(23.3,178]","[1,18.88]","(15.32,25.3]","(23.5,39.6]","(547,4491]","(8.06,16.58]","[1.53,25]","(9.82,35.9]"
"214","(39.52,74.3]","(24.8,389]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","(25.3,2571]","(39.6,3555]","(192.2,547]","(8.06,16.58]","[1.53,25]","[1,9.82]"
"215","(39.52,74.3]","(24.8,389]","(24.8,167]","(23.3,178]","(45.3,764]","[1,15.32]","(23.5,39.6]","(547,4491]","(8.06,16.58]","(25,44.34]","[1,9.82]"
"216","(74.3,552]","(24.8,389]","(10.8,24.8]","(23.3,178]","[1,18.88]","(25.3,2571]","(39.6,3555]","(547,4491]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"217","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","[1,8.06]","[1.53,25]","[1,9.82]"
"218","(74.3,552]","(24.8,389]","(10.8,24.8]","[1.11,23.3]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","[1.95,192.2]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"219","(74.3,552]","(24.8,389]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(16.58,106]","(25,44.34]","[1,9.82]"
"220","[1.61,39.52]","[1,15.1]","(10.8,24.8]","(23.3,178]","[1,18.88]","(15.32,25.3]","(39.6,3555]","(192.2,547]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"221","(74.3,552]","(24.8,389]","[1,10.8]","[1.11,23.3]","(45.3,764]","(25.3,2571]","(39.6,3555]","(547,4491]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"222","(74.3,552]","(24.8,389]","(24.8,167]","(23.3,178]","(45.3,764]","[1,15.32]","(23.5,39.6]","(192.2,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"223","[1.61,39.52]","[1,15.1]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"224","(74.3,552]","(15.1,24.8]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","[1,15.32]","[1.7,23.5]","(192.2,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"225","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","[1.11,23.3]","(18.88,45.3]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"226","(74.3,552]","(24.8,389]","(24.8,167]","(178,843]","(45.3,764]","[1,15.32]","[1.7,23.5]","(192.2,547]","[1,8.06]","(25,44.34]","(35.9,343]"
"227","[1.61,39.52]","(15.1,24.8]","(24.8,167]","(23.3,178]","(45.3,764]","[1,15.32]","[1.7,23.5]","(547,4491]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"228","[1.61,39.52]","(15.1,24.8]","[1,10.8]","[1.11,23.3]","(18.88,45.3]","(25.3,2571]","(39.6,3555]","(192.2,547]","[1,8.06]","[1.53,25]","(9.82,35.9]"
"229","(39.52,74.3]","(15.1,24.8]","[1,10.8]","(23.3,178]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","(192.2,547]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"230","(39.52,74.3]","(15.1,24.8]","(24.8,167]","(23.3,178]","[1,18.88]","[1,15.32]","[1.7,23.5]","(192.2,547]","[1,8.06]","(44.34,170]","[1,9.82]"
"231","(39.52,74.3]","(24.8,389]","(10.8,24.8]","(23.3,178]","(45.3,764]","[1,15.32]","[1.7,23.5]","[1.95,192.2]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"232","(39.52,74.3]","(24.8,389]","[1,10.8]","[1.11,23.3]","[1,18.88]","[1,15.32]","(39.6,3555]","[1.95,192.2]","(16.58,106]","(25,44.34]","[1,9.82]"
"233","(74.3,552]","(24.8,389]","[1,10.8]","[1.11,23.3]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","(192.2,547]","(8.06,16.58]","(25,44.34]","(35.9,343]"
"234","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","[1,15.32]","[1.7,23.5]","(192.2,547]","[1,8.06]","[1.53,25]","[1,9.82]"
"235","(74.3,552]","(24.8,389]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","(192.2,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"236","[1.61,39.52]","(15.1,24.8]","(10.8,24.8]","(23.3,178]","[1,18.88]","(25.3,2571]","(39.6,3555]","(547,4491]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"237","(74.3,552]","(24.8,389]","[1,10.8]","[1.11,23.3]","[1,18.88]","[1,15.32]","[1.7,23.5]","(192.2,547]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"238","[1.61,39.52]","(15.1,24.8]","[1,10.8]","[1.11,23.3]","(18.88,45.3]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(8.06,16.58]","(25,44.34]","(35.9,343]"
"239","(74.3,552]","(24.8,389]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","(25.3,2571]","(39.6,3555]","(192.2,547]","(8.06,16.58]","[1.53,25]","[1,9.82]"
"240","(74.3,552]","(15.1,24.8]","[1,10.8]","(23.3,178]","[1,18.88]","[1,15.32]","[1.7,23.5]","(192.2,547]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"241","(74.3,552]","(15.1,24.8]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","(192.2,547]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"242","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","(23.3,178]","(45.3,764]","(25.3,2571]","(39.6,3555]","(547,4491]","(8.06,16.58]","(25,44.34]","(35.9,343]"
"243","(39.52,74.3]","(15.1,24.8]","(24.8,167]","(23.3,178]","[1,18.88]","(25.3,2571]","(39.6,3555]","(547,4491]","(8.06,16.58]","(25,44.34]","(35.9,343]"
"244","(74.3,552]","(24.8,389]","[1,10.8]","[1.11,23.3]","(45.3,764]","[1,15.32]","[1.7,23.5]","(192.2,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"245","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","(23.3,178]","[1,18.88]","(25.3,2571]","(39.6,3555]","(547,4491]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"246","(74.3,552]","(24.8,389]","(24.8,167]","(23.3,178]","(18.88,45.3]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","[1,8.06]","(25,44.34]","(35.9,343]"
"247","(39.52,74.3]","(24.8,389]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","[1,15.32]","[1.7,23.5]","(547,4491]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"248","[1.61,39.52]","[1,15.1]","(10.8,24.8]","(23.3,178]","[1,18.88]","[1,15.32]","[1.7,23.5]","(192.2,547]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"249","(74.3,552]","(24.8,389]","(24.8,167]","(23.3,178]","(18.88,45.3]","(25.3,2571]","(39.6,3555]","(547,4491]","(16.58,106]","(25,44.34]","[1,9.82]"
"250","[1.61,39.52]","[1,15.1]","(10.8,24.8]","(23.3,178]","[1,18.88]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"251","(39.52,74.3]","(24.8,389]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","[1,15.32]","(23.5,39.6]","(192.2,547]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"252","[1.61,39.52]","[1,15.1]","(10.8,24.8]","[1.11,23.3]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","(192.2,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"253","(39.52,74.3]","(24.8,389]","(10.8,24.8]","(23.3,178]","[1,18.88]","(25.3,2571]","(39.6,3555]","(192.2,547]","(16.58,106]","[1.53,25]","(9.82,35.9]"
"254","[1.61,39.52]","[1,15.1]","[1,10.8]","(178,843]","(18.88,45.3]","[1,15.32]","(23.5,39.6]","(192.2,547]","(8.06,16.58]","[1.53,25]","(35.9,343]"
"255","(74.3,552]","(24.8,389]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","(15.32,25.3]","(39.6,3555]","(192.2,547]","(8.06,16.58]","[1.53,25]","(9.82,35.9]"
"256","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"257","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","(23.3,178]","[1,18.88]","[1,15.32]","(23.5,39.6]","(192.2,547]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"258","[1.61,39.52]","(15.1,24.8]","(10.8,24.8]","(23.3,178]","(45.3,764]","(25.3,2571]","(39.6,3555]","(547,4491]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"259","(39.52,74.3]","(24.8,389]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"260","(74.3,552]","(24.8,389]","(10.8,24.8]","[1.11,23.3]","(18.88,45.3]","[1,15.32]","(39.6,3555]","[1.95,192.2]","[1,8.06]","[1.53,25]","(35.9,343]"
"261","(74.3,552]","(24.8,389]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(8.06,16.58]","[1.53,25]","(35.9,343]"
"262","[1.61,39.52]","(15.1,24.8]","(24.8,167]","(23.3,178]","[1,18.88]","[1,15.32]","[1.7,23.5]","(192.2,547]","[1,8.06]","(44.34,170]","(35.9,343]"
"263","(39.52,74.3]","(24.8,389]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","[1,15.32]","[1.7,23.5]","(192.2,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"264","(74.3,552]","(24.8,389]","(24.8,167]","(23.3,178]","[1,18.88]","(25.3,2571]","(39.6,3555]","(192.2,547]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"265","(39.52,74.3]","(24.8,389]","[1,10.8]","(23.3,178]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","(192.2,547]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"266","[1.61,39.52]","(15.1,24.8]","(24.8,167]","(23.3,178]","[1,18.88]","[1,15.32]","[1.7,23.5]","(547,4491]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"267","(39.52,74.3]","(24.8,389]","(10.8,24.8]","(23.3,178]","(45.3,764]","[1,15.32]","(23.5,39.6]","(547,4491]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"268","(74.3,552]","(15.1,24.8]","(10.8,24.8]","(23.3,178]","[1,18.88]","(25.3,2571]","(39.6,3555]","(547,4491]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"269","(74.3,552]","(24.8,389]","[1,10.8]","(178,843]","(45.3,764]","(25.3,2571]","(39.6,3555]","(192.2,547]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"270","(74.3,552]","(24.8,389]","[1,10.8]","(23.3,178]","[1,18.88]","(25.3,2571]","(39.6,3555]","(547,4491]","(8.06,16.58]","[1.53,25]","(9.82,35.9]"
"271","[1.61,39.52]","[1,15.1]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","(547,4491]","(8.06,16.58]","(25,44.34]","[1,9.82]"
"272","(39.52,74.3]","(24.8,389]","(24.8,167]","(23.3,178]","(18.88,45.3]","(15.32,25.3]","(23.5,39.6]","(547,4491]","[1,8.06]","[1.53,25]","(35.9,343]"
"273","[1.61,39.52]","[1,15.1]","[1,10.8]","[1.11,23.3]","[1,18.88]","(25.3,2571]","(39.6,3555]","(192.2,547]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"274","(39.52,74.3]","(24.8,389]","[1,10.8]","[1.11,23.3]","(18.88,45.3]","(25.3,2571]","(39.6,3555]","(547,4491]","(8.06,16.58]","[1.53,25]","(9.82,35.9]"
"275","(74.3,552]","(24.8,389]","(10.8,24.8]","(23.3,178]","[1,18.88]","[1,15.32]","(23.5,39.6]","(547,4491]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"276","[1.61,39.52]","[1,15.1]","(10.8,24.8]","(23.3,178]","[1,18.88]","(15.32,25.3]","(39.6,3555]","(192.2,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"277","(39.52,74.3]","(15.1,24.8]","[1,10.8]","(23.3,178]","[1,18.88]","(25.3,2571]","(39.6,3555]","(547,4491]","(8.06,16.58]","(25,44.34]","(35.9,343]"
